Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Unit_Price,Discount,Payment_Method,Order_Status,Name,City,Signup_Date,Age,Gender,Category,Cost_Price,Supplier,Total_Revenue,Profit
ORD0067,01-04-2022,C184,P501,5,2500,0.1,Upi,Cancelled,User_84,Delhi,23-06-2025,20,Male,Electronics,1000,ABC Pvt Ltd,11250,6250
ORD0068,23-10-2025,C136,P504,5,1500,0,Cod,Cancelled,User_36,Bangalore,17-09-2024,20,Male,Fashion,1200,Unknown,7500,1500
ORD0069,15-10-2022,C585,P501,2,2500,0.05,Upi,Returned,User_485,Mumbai,09-02-2025,45,Male,Electronics,1000,ABC Pvt Ltd,4750,2750
ORD0070,17-03-2025,C543,P502,1,999,0.1,Upi,Delivered,User_443,Delhi,27-06-2023,28,Female,Electronics,1800,XYZ Traders,899.1,-900.9
ORD0071,12-02-2023,C373,P501,5,2500,0.15,Upi,Delivered,User_273,Delhi,11-12-2024,28,Male,Electronics,1000,ABC Pvt Ltd,10625,5625
ORD0072,29-06-2024,C432,P504,1,1500,0.05,Upi,Cancelled,User_332,Mumbai,02-08-2022,28,Male,Fashion,1200,Unknown,1425,225
ORD0073,02-01-2022,C231,P501,5,2500,0.1,Credit Card,Returned,User_131,Bangalore,26-03-2024,28,Male,Electronics,1000,ABC Pvt Ltd,11250,6250
ORD0074,21-07-2023,C460,P502,1,1500,0,Credit Card,Returned,User_360,Mumbai,04-07-2022,30,Female,Electronics,1800,XYZ Traders,1500,-300
ORD0075,11-02-2022,C523,P501,2,2500,0,Upi,Delivered,User_423,Mumbai,28-08-2023,20,Male,Electronics,1000,ABC Pvt Ltd,5000,3000
ORD0076,22-03-2023,C280,P505,2,2500,0,Debit Card,Cancelled,User_180,Bangalore,02-05-2024,20,Female,Home,2500,Global Corp,5000,0
ORD0077,25-08-2022,C200,P505,1,999,0,Cod,Returned,User_100,Delhi,03-05-2023,30,Male,Home,2500,Global Corp,999,-1501
ORD0078,31-10-2023,C383,P501,10,999,0,Upi,Cancelled,User_283,Delhi,16-05-2023,30,Female,Electronics,1000,ABC Pvt Ltd,9990,-10
ORD0079,29-07-2023,C257,P502,2,1500,0.05,Upi,Returned,User_157,Bangalore,11-07-2025,30,Female,Electronics,1800,XYZ Traders,2850,-750
ORD0080,15-03-2024,C521,P503,2,2500,0,Upi,Delivered,User_421,Delhi,22-08-2022,45,Male,Fashion,600,ABC Pvt Ltd,5000,3800
ORD0081,02-09-2023,C359,P504,10,2500,0,Cod,Returned,User_259,Delhi,16-11-2025,30,Female,Fashion,1200,Unknown,25000,13000
ORD0082,20-02-2025,C211,P502,5,1500,0.1,Upi,Delivered,User_111,Delhi,20-02-2024,45,Female,Electronics,1800,XYZ Traders,6750,-2250
ORD0083,02-02-2024,C213,P505,5,999,0.1,Upi,Delivered,User_113,Delhi,11-11-2023,20,Male,Home,2500,Global Corp,4495.5,-8004.5
ORD0084,31-05-2024,C256,P505,2,1500,0.15,Upi,Delivered,User_156,Delhi,12-10-2025,28,Female,Home,2500,Global Corp,2550,-2450
ORD0085,17-02-2022,C331,P505,1,1500,0.15,Debit Card,Delivered,User_231,Mumbai,08-11-2025,45,Female,Home,2500,Global Corp,1275,-1225
ORD0086,29-04-2025,C133,P505,2,2500,0.05,Debit Card,Delivered,User_33,Delhi,17-07-2022,20,Female,Home,2500,Global Corp,4750,-250
ORD0087,02-09-2023,C160,P503,1,1500,0.15,Upi,Delivered,User_60,Mumbai,29-10-2025,28,Female,Fashion,600,ABC Pvt Ltd,1275,675
ORD0088,14-12-2025,C354,P503,10,999,0.15,Upi,Returned,User_254,Mumbai,08-02-2024,28,Female,Fashion,600,ABC Pvt Ltd,8491.5,2491.5
ORD0089,06-01-2025,C353,P502,1,1500,0.1,Upi,Returned,User_253,Bangalore,07-04-2023,45,Female,Electronics,1800,XYZ Traders,1350,-450
ORD0090,10-08-2023,C112,P501,1,2500,0.05,Credit Card,Delivered,User_12,Mumbai,17-12-2023,45,Female,Electronics,1000,ABC Pvt Ltd,2375,1375
ORD0091,02-02-2022,C407,P502,5,2500,0.05,Upi,Delivered,User_307,Bangalore,22-03-2024,28,Male,Electronics,1800,XYZ Traders,11875,2875
ORD0092,05-08-2022,C469,P504,10,2500,0.1,Cod,Delivered,User_369,Mumbai,31-03-2024,28,Male,Fashion,1200,Unknown,22500,10500
ORD0093,29-04-2023,C130,P501,10,999,0.15,Upi,Returned,User_30,Delhi,22-12-2025,28,Female,Electronics,1000,ABC Pvt Ltd,8491.5,-1508.5
ORD0094,16-08-2025,C388,P502,1,2500,0,Credit Card,Delivered,User_288,Delhi,13-12-2024,28,Female,Electronics,1800,XYZ Traders,2500,700
ORD0095,04-04-2024,C145,P501,1,2500,0,Cod,Delivered,User_45,Delhi,14-05-2025,28,Male,Electronics,1000,ABC Pvt Ltd,2500,1500
ORD0096,15-02-2024,C481,P502,1,2500,0.15,Credit Card,Returned,User_381,Bangalore,11-01-2024,45,Male,Electronics,1800,XYZ Traders,2125,325
ORD0097,17-09-2024,C175,P504,1,2500,0.05,Upi,Delivered,User_75,Bangalore,01-10-2022,30,Female,Fashion,1200,Unknown,2375,1175
ORD0098,07-12-2022,C556,P501,2,999,0.15,Cod,Returned,User_456,Bangalore,13-11-2025,28,Male,Electronics,1000,ABC Pvt Ltd,1698.3,-301.7
ORD0099,19-03-2024,C372,P501,1,999,0.05,Upi,Delivered,User_272,Bangalore,24-02-2022,30,Male,Electronics,1000,ABC Pvt Ltd,949.05,-50.95
ORD0100,12-12-2022,C140,P502,5,999,0.1,Cod,Returned,User_40,Bangalore,03-11-2024,30,Female,Electronics,1800,XYZ Traders,4495.5,-4504.5
ORD0101,28-06-2025,C198,P503,10,1500,0.15,Credit Card,Delivered,User_98,Delhi,22-11-2025,28,Male,Fashion,600,ABC Pvt Ltd,12750,6750
ORD0102,31-08-2024,C578,P502,1,2500,0.15,Upi,Delivered,User_478,Delhi,23-09-2025,28,Female,Electronics,1800,XYZ Traders,2125,325
ORD0103,23-09-2023,C504,P503,1,999,0.15,Upi,Returned,User_404,Delhi,02-04-2023,28,Female,Fashion,600,ABC Pvt Ltd,849.15,249.15
ORD0104,10-01-2025,C164,P503,1,1500,0.15,Credit Card,Delivered,User_64,Mumbai,11-12-2023,30,Male,Fashion,600,ABC Pvt Ltd,1275,675
ORD0105,17-09-2025,C176,P504,10,2500,0.05,Credit Card,Delivered,User_76,Bangalore,14-02-2022,30,Female,Fashion,1200,Unknown,23750,11750
ORD0106,15-04-2025,C556,P501,5,1500,0.05,Credit Card,Delivered,User_456,Bangalore,13-11-2025,28,Male,Electronics,1000,ABC Pvt Ltd,7125,2125
ORD0107,14-08-2024,C502,P502,1,999,0.1,Upi,Returned,User_402,Bangalore,01-05-2023,28,Female,Electronics,1800,XYZ Traders,899.1,-900.9
ORD0108,12-07-2023,C229,P503,2,1500,0.15,Cod,Delivered,User_129,Bangalore,09-01-2022,45,Female,Fashion,600,ABC Pvt Ltd,2550,1350
ORD0109,17-03-2022,C551,P503,5,2500,0.1,Debit Card,Cancelled,User_451,Delhi,16-02-2025,20,Female,Fashion,600,ABC Pvt Ltd,11250,8250
ORD0110,05-06-2025,C136,P503,1,1500,0.1,Upi,Cancelled,User_36,Bangalore,17-09-2024,20,Male,Fashion,600,ABC Pvt Ltd,1350,750
ORD0111,19-12-2022,C207,P504,1,1500,0.1,Debit Card,Delivered,User_107,Bangalore,15-02-2022,28,Male,Fashion,1200,Unknown,1350,150
ORD0112,24-08-2025,C412,P504,10,1500,0.1,Debit Card,Delivered,User_312,Mumbai,20-09-2025,28,Male,Fashion,1200,Unknown,13500,1500
ORD0113,19-05-2023,C417,P503,5,2500,0.1,Cod,Returned,User_317,Mumbai,19-04-2025,30,Female,Fashion,600,ABC Pvt Ltd,11250,8250
ORD0114,14-10-2023,C518,P503,5,1500,0.05,Credit Card,Delivered,User_418,Bangalore,17-01-2025,20,Male,Fashion,600,ABC Pvt Ltd,7125,4125
ORD0115,26-07-2023,C186,P502,2,1500,0.1,Credit Card,Delivered,User_86,Delhi,11-01-2024,28,Female,Electronics,1800,XYZ Traders,2700,-900
ORD0116,22-08-2024,C296,P502,2,1500,0,Upi,Cancelled,User_196,Delhi,04-01-2024,20,Male,Electronics,1800,XYZ Traders,3000,-600
ORD0117,28-09-2023,C230,P505,1,1500,0,Upi,Cancelled,User_130,Delhi,06-06-2024,30,Female,Home,2500,Global Corp,1500,-1000
ORD0118,06-11-2024,C505,P502,1,2500,0.15,Upi,Cancelled,User_405,Delhi,03-08-2022,20,Female,Electronics,1800,XYZ Traders,2125,325
ORD0119,09-03-2022,C312,P502,2,2500,0.05,Cod,Returned,User_212,Mumbai,08-12-2025,20,Male,Electronics,1800,XYZ Traders,4750,1150
ORD0120,09-12-2024,C455,P502,1,1500,0.05,Credit Card,Delivered,User_355,Bangalore,14-06-2022,28,Female,Electronics,1800,XYZ Traders,1425,-375
ORD0121,08-08-2024,C506,P503,2,1500,0.15,Credit Card,Delivered,User_406,Mumbai,17-08-2024,20,Male,Fashion,600,ABC Pvt Ltd,2550,1350
ORD0122,09-01-2023,C426,P503,10,1500,0.1,Upi,Cancelled,User_326,Delhi,17-11-2022,28,Male,Fashion,600,ABC Pvt Ltd,13500,7500
ORD0123,01-04-2022,C599,P504,1,1500,0,Debit Card,Delivered,User_499,Delhi,17-12-2024,28,Male,Fashion,1200,Unknown,1500,300
ORD0124,07-09-2023,C361,P505,5,1500,0.15,Cod,Delivered,User_261,Delhi,11-12-2024,28,Female,Home,2500,Global Corp,6375,-6125
ORD0125,01-03-2022,C581,P501,10,2500,0.05,Upi,Delivered,User_481,Delhi,03-11-2025,30,Male,Electronics,1000,ABC Pvt Ltd,23750,13750
ORD0126,18-03-2024,C319,P505,5,999,0.1,Cod,Cancelled,User_219,Bangalore,19-04-2023,28,Male,Home,2500,Global Corp,4495.5,-8004.5
ORD0127,31-12-2024,C437,P501,1,1500,0,Upi,Delivered,User_337,Mumbai,27-08-2025,28,Male,Electronics,1000,ABC Pvt Ltd,1500,500
ORD0128,30-10-2022,C130,P501,1,1500,0.05,Credit Card,Delivered,User_30,Delhi,22-12-2025,28,Female,Electronics,1000,ABC Pvt Ltd,1425,425
ORD0129,15-12-2025,C204,P503,1,1500,0,Credit Card,Delivered,User_104,Delhi,30-10-2024,20,Male,Fashion,600,ABC Pvt Ltd,1500,900
ORD0130,06-02-2024,C405,P503,1,1500,0.15,Cod,Returned,User_305,Delhi,05-02-2022,45,Male,Fashion,600,ABC Pvt Ltd,1275,675
ORD0131,29-03-2022,C410,P503,1,2500,0,Cod,Delivered,User_310,Delhi,08-02-2022,30,Male,Fashion,600,ABC Pvt Ltd,2500,1900
ORD0132,20-10-2022,C336,P504,5,1500,0,Debit Card,Delivered,User_236,Bangalore,15-05-2023,45,Male,Fashion,1200,Unknown,7500,1500
ORD0133,04-07-2023,C522,P505,10,999,0.15,Debit Card,Cancelled,User_422,Mumbai,07-11-2025,45,Male,Home,2500,Global Corp,8491.5,-16508.5
ORD0134,23-12-2025,C417,P504,5,1500,0.1,Cod,Delivered,User_317,Mumbai,19-04-2025,30,Female,Fashion,1200,Unknown,6750,750
ORD0135,21-05-2024,C515,P503,5,999,0,Credit Card,Returned,User_415,Bangalore,31-05-2025,28,Female,Fashion,600,ABC Pvt Ltd,4995,1995
ORD0136,01-05-2023,C396,P504,2,2500,0.15,Credit Card,Cancelled,User_296,Mumbai,23-11-2023,45,Male,Fashion,1200,Unknown,4250,1850
ORD0137,02-06-2024,C440,P504,1,1500,0,Upi,Returned,User_340,Bangalore,20-10-2024,45,Female,Fashion,1200,Unknown,1500,300
ORD0138,27-03-2022,C174,P503,2,2500,0,Debit Card,Delivered,User_74,Mumbai,20-05-2024,45,Female,Fashion,600,ABC Pvt Ltd,5000,3800
ORD0139,14-04-2023,C426,P503,1,1500,0.05,Cod,Delivered,User_326,Delhi,17-11-2022,28,Male,Fashion,600,ABC Pvt Ltd,1425,825
ORD0140,26-12-2023,C564,P502,10,999,0.15,Cod,Returned,User_464,Mumbai,05-07-2023,45,Female,Electronics,1800,XYZ Traders,8491.5,-9508.5
ORD0141,16-10-2023,C170,P504,5,1500,0,Credit Card,Returned,User_70,Delhi,25-09-2025,30,Male,Fashion,1200,Unknown,7500,1500
ORD0142,01-03-2023,C373,P505,10,999,0,Credit Card,Delivered,User_273,Delhi,11-12-2024,28,Male,Home,2500,Global Corp,9990,-15010
ORD0143,17-08-2025,C534,P504,2,1500,0.05,Upi,Returned,User_434,Mumbai,01-10-2025,28,Female,Fashion,1200,Unknown,2850,450
ORD0144,06-11-2024,C345,P503,10,1500,0.1,Credit Card,Delivered,User_245,Delhi,12-04-2025,28,Female,Fashion,600,ABC Pvt Ltd,13500,7500
ORD0145,27-05-2024,C280,P502,2,2500,0.05,Upi,Cancelled,User_180,Bangalore,02-05-2024,20,Female,Electronics,1800,XYZ Traders,4750,1150
ORD0146,07-05-2022,C319,P503,5,1500,0.1,Debit Card,Cancelled,User_219,Bangalore,19-04-2023,28,Male,Fashion,600,ABC Pvt Ltd,6750,3750
ORD0147,15-08-2022,C201,P504,1,1500,0.15,Debit Card,Delivered,User_101,Bangalore,17-11-2025,20,Female,Fashion,1200,Unknown,1275,75
ORD0148,30-12-2025,C109,P502,10,2500,0,Cod,Delivered,User_9,Mumbai,11-06-2025,30,Male,Electronics,1800,XYZ Traders,25000,7000
ORD0149,19-03-2025,C567,P501,1,2500,0,Upi,Delivered,User_467,Delhi,26-02-2022,28,Female,Electronics,1000,ABC Pvt Ltd,2500,1500
ORD0150,31-01-2022,C545,P502,1,999,0.1,Upi,Returned,User_445,Mumbai,12-10-2022,28,Female,Electronics,1800,XYZ Traders,899.1,-900.9
ORD0151,14-03-2025,C162,P501,5,2500,0.1,Cod,Delivered,User_62,Mumbai,11-05-2024,30,Female,Electronics,1000,ABC Pvt Ltd,11250,6250
ORD0152,21-08-2023,C480,P502,1,2500,0.1,Upi,Delivered,User_380,Mumbai,05-10-2024,45,Male,Electronics,1800,XYZ Traders,2250,450
ORD0153,13-12-2023,C542,P503,1,999,0.1,Debit Card,Delivered,User_442,Delhi,21-07-2023,30,Male,Fashion,600,ABC Pvt Ltd,899.1,299.1
ORD0154,05-07-2025,C512,P501,2,1500,0.1,Cod,Delivered,User_412,Delhi,19-12-2023,28,Female,Electronics,1000,ABC Pvt Ltd,2700,700
ORD0155,22-01-2023,C254,P504,2,1500,0.05,Cod,Cancelled,User_154,Delhi,16-12-2023,28,Female,Fashion,1200,Unknown,2850,450
ORD0156,07-06-2024,C304,P505,10,1500,0.15,Debit Card,Returned,User_204,Mumbai,28-05-2023,28,Female,Home,2500,Global Corp,12750,-12250
ORD0157,24-05-2023,C497,P504,2,999,0.1,Upi,Returned,User_397,Bangalore,20-09-2024,28,Male,Fashion,1200,Unknown,1798.2,-601.8
ORD0158,20-06-2023,C599,P503,2,2500,0.1,Cod,Delivered,User_499,Delhi,17-12-2024,28,Male,Fashion,600,ABC Pvt Ltd,4500,3300
ORD0159,22-05-2022,C123,P504,5,999,0,Upi,Delivered,User_23,Bangalore,21-12-2023,30,Female,Fashion,1200,Unknown,4995,-1005
ORD0160,13-04-2025,C444,P502,2,999,0.05,Credit Card,Returned,User_344,Bangalore,25-02-2022,30,Male,Electronics,1800,XYZ Traders,1898.1,-1701.9
ORD0161,10-05-2023,C242,P503,1,1500,0,Upi,Delivered,User_142,Mumbai,27-02-2022,30,Male,Fashion,600,ABC Pvt Ltd,1500,900
ORD0162,02-01-2024,C595,P503,5,1500,0,Credit Card,Returned,User_495,Mumbai,02-10-2022,28,Male,Fashion,600,ABC Pvt Ltd,7500,4500
ORD0163,08-11-2024,C176,P504,5,1500,0.1,Debit Card,Cancelled,User_76,Bangalore,14-02-2022,30,Female,Fashion,1200,Unknown,6750,750
ORD0164,18-09-2022,C482,P502,10,1500,0.1,Credit Card,Delivered,User_382,Delhi,28-11-2023,20,Male,Electronics,1800,XYZ Traders,13500,-4500
ORD0165,31-12-2025,C554,P501,10,999,0.15,Credit Card,Delivered,User_454,Bangalore,24-12-2025,20,Male,Electronics,1000,ABC Pvt Ltd,8491.5,-1508.5
ORD0166,19-03-2023,C166,P504,1,1500,0.15,Credit Card,Returned,User_66,Mumbai,12-04-2022,28,Female,Fashion,1200,Unknown,1275,75
ORD0167,03-01-2024,C278,P501,10,1500,0.15,Credit Card,Delivered,User_178,Delhi,23-06-2025,45,Male,Electronics,1000,ABC Pvt Ltd,12750,2750
ORD0168,01-07-2024,C548,P503,1,1500,0.1,Cod,Delivered,User_448,Bangalore,16-09-2022,45,Male,Fashion,600,ABC Pvt Ltd,1350,750
ORD0169,19-12-2024,C153,P501,1,2500,0.1,Upi,Returned,User_53,Bangalore,16-02-2025,20,Female,Electronics,1000,ABC Pvt Ltd,2250,1250
